0	0	0	0	0	0	1	0	0	0	52.4	0.089	0	0.908	0	0.004	3
0	0	0	0	0	0	0	0	0	1	67.53	0.004	0	0.996	0	0.001	3
0	0	1	1	1	1	1	1	1	1	58.78	0.573	0.398	0	0.003	0.026	1
1	1	1	1	1	1	.	1	1	1	52.88	0	0.976	0	0.006	0.018	2
0	0	0	0	0	1	1	1	1	1	64.6	0.992	0	0	0.007	0	1
1	1	1	0	0	1	1	1	1	1	34	0.004	0.027	0	0.964	0.004	4
0	1	1	0	1	1	1	1	1	0	.	0.157	0.676	0	0.118	0.048	2
1	0	1	0	1	0	0	1	1	1	.	0.284	0.043	0.012	0.041	0.619	5
1	1	.	1	1	1	1	1	1	0	73.64	0.001	0.984	0	0.006	0.008	2
1	1	1	1	1	1	1	1	1	0	60.28	0	0.986	0	0.006	0.008	2
1	1	1	0	1	1	1	1	1	0	66	0.005	0.788	0	0.191	0.017	2
0	0	1	1	1	1	1	1	0	0	.	0.721	0.086	0.002	0.001	0.19	1
1	1	1	1	1	1	1	.	.	0	57.32	0.001	0.956	0	0.006	0.037	2
1	1	1	0	0	0	0	0	0	0	49.5	0.001	0	0.141	0.009	0.848	5
1	0	0	1	0	1	1	1	1	1	70.63	0.837	0.029	0	0.122	0.011	1
0	1	1	0	1	1	1	1	1	0	.	0.157	0.676	0	0.118	0.048	2
0	0	0	1	1	0	0	0	0	1	50.59	0.007	0	0.974	0	0.019	3
0	0	1	0	0	1	1	0	1	1	51.73	0.941	0	0.004	0.043	0.011	1
0	1	1	1	1	0	0	1	0	1	58.13	0.004	0.004	0.011	0	0.981	5
1	1	1	1	0	1	1	1	0	1	64.76	0.013	0.204	0	0.366	0.417	5
1	1	1	1	1	1	0	1	1	0	45.32	0.001	0.918	0	0.006	0.075	2
0	0	0	0	0	0	0	0	0	0	55.24	0.004	0	0.996	0	0.001	3
1	1	1	1	1	1	1	1	1	0	52.69	0	0.986	0	0.006	0.008	2
1	1	1	1	0	0	0	1	1	0	44.94	0.006	0.052	0	0.094	0.847	5
0	0	1	1	1	0	0	0	1	1	69.96	0.124	0.002	0.203	0	0.671	5
1	1	1	1	1	1	0	1	1	1	68.82	0.001	0.918	0	0.006	0.075	2
1	1	1	0	0	1	1	1	1	0	52.22	0.004	0.027	0	0.964	0.004	4
1	0	1	1	1	1	1	1	0	1	56	0.115	0.524	0	0.012	0.349	2
1	1	1	1	0	1	1	1	1	0	66.13	0.005	0.516	0	0.447	0.031	2
0	0	1	0	1	1	0	1	1	0	69.92	0.95	0.015	0.002	0.005	0.028	1
1	1	1	1	1	1	1	1	1	1	58.68	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	1	1	1	1	57.43	0	0.986	0	0.006	0.008	2
0	0	1	0	0	1	1	.	1	0	43.57	0.922	0.001	0.001	0.072	0.004	1
0	0	0	0	0	0	0	0	0	0	.	0.004	0	0.996	0	0.001	3
1	1	1	1	1	1	0	1	1	1	48.83	0.001	0.918	0	0.006	0.075	2
1	1	1	0	1	1	1	1	1	0	91.67	0.005	0.788	0	0.191	0.017	2
1	1	1	1	0	0	1	1	0	0	59.34	0.004	0.017	0	0.061	0.917	5
0	1	0	1	0	0	0	0	0	1	66.1	0.003	0	0.902	0	0.095	3
0	0	1	0	1	1	0	0	0	1	49.64	0.218	0	0.595	0	0.187	3
1	1	1	1	1	1	1	1	1	0	66.23	0	0.986	0	0.006	0.008	2
0	0	0	0	0	0	0	0	0	0	38.42	0.004	0	0.996	0	0.001	3
1	1	1	1	1	1	1	1	1	1	51.36	0	0.986	0	0.006	0.008	2
0	0	0	0	1	1	1	1	1	1	44.11	0.996	0.002	0	0.001	0.001	1
0	1	0	0	0	1	1	1	1	1	56.51	0.722	0.004	0	0.269	0.006	1
0	0	0	0	0	1	1	.	1	1	48.24	0.991	0	0.002	0.007	0	1
0	0	1	1	1	1	0	1	0	0	.	0.488	0.02	0.032	0	0.46	1
0	0	0	0	0	0	0	1	1	0	32.75	0.834	0	0.161	0.001	0.004	1
0	0	1	0	0	0	0	0	0	0	42.11	0.008	0	0.979	0	0.013	3
0	0	0	0	0	0	1	0	0	1	54.81	0.089	0	0.908	0	0.004	3
1	1	1	0	1	1	1	1	1	0	42.75	0.005	0.788	0	0.191	0.017	2
0	0	1	0	0	1	1	1	1	0	.	0.918	0.002	0	0.078	0.002	1
1	1	0	0	1	1	0	1	1	0	54.31	0.186	0.363	0.001	0.241	0.209	2
1	1	1	1	1	1	1	1	1	1	.	0	0.986	0	0.006	0.008	2
1	1	1	1	1	1	0	1	1	1	.	0.001	0.918	0	0.006	0.075	2
1	0	1	0	0	1	1	1	1	0	48.16	0.179	0.012	0	0.804	0.005	4
1	1	1	0	0	1	1	1	0	0	.	0.011	0.012	0	0.908	0.068	4
0	1	1	1	1	1	1	1	1	0	53.17	0.015	0.956	0	0.004	0.025	2
0	1	0	0	1	0	0	0	0	0	36.58	0.004	0	0.922	0	0.074	3
0	0	0	0	0	0	0	0	1	0	37	0.13	0	0.867	0	0.003	3
0	0	0	0	0	0	1	1	1	1	44.57	0.988	0	0.007	0.004	0.001	1
1	1	1	1	1	0	1	1	1	1	67.4	0.001	0.819	0	0.009	0.17	2
