    19.000 0 1 1 0 1 1 1 1 1      0.157      0.676      0.000      0.118      0.048    2
    15.000 0 1 1 1 1 1 0 1 1      0.033      0.758      0.000      0.003      0.205    2
    14.000 1 1 1 0 1 1 0 1 1      0.012      0.670      0.000      0.171      0.148    2
    11.000 1 0 1 1 1 1 0 1 1      0.081      0.756      0.000      0.009      0.154    2
    11.000 1 1 1 1 0 1 0 1 1      0.012      0.390      0.000      0.356      0.243    2
    10.000 1 1 1 0 1 0 1 1 1      0.012      0.486      0.000      0.230      0.272    2
    10.000 1 0 1 0 1 1 1 1 1      0.274      0.480      0.000      0.220      0.026    2
     9.000 1 1 1 * 1 1 1 1 1      0.001      0.954      0.000      0.035      0.009    2
     7.000 0 1 1 1 1 1 1 1 0      0.045      0.504      0.000      0.004      0.447    2
     7.000 1 1 1 1 1 1 1 * 1      0.000      0.979      0.000      0.006      0.015    2
     7.000 1 1 0 0 1 1 1 1 1      0.096      0.536      0.000      0.338      0.030    2
     6.000 1 1 1 0 1 1 1 0 1      0.012      0.522      0.000      0.253      0.214    2
     6.000 1 1 0 1 1 1 0 1 1      0.027      0.792      0.000      0.013      0.169    2
     6.000 1 1 1 1 1 1 * 1 1      0.000      0.976      0.000      0.006      0.018    2
     6.000 1 1 1 0 1 1 1 1 0      0.016      0.443      0.000      0.221      0.320    2
     5.000 1 0 1 1 1 1 1 0 1      0.091      0.648      0.000      0.014      0.246    2
     5.000 0 1 0 1 1 1 1 1 1      0.296      0.652      0.000      0.007      0.045    2
     5.000 0 1 1 1 1 0 1 1 1      0.035      0.569      0.000      0.005      0.392    2
     4.000 1 0 1 1 1 0 1 1 1      0.089      0.591      0.000      0.013      0.306    2
     4.000 0 1 1 1 1 1 1 0 1      0.036      0.636      0.000      0.005      0.322    2
     4.000 1 1 1 1 1 * 1 1 1      0.000      0.973      0.000      0.006      0.020    2
     4.000 1 1 * 1 1 1 1 1 1      0.001      0.984      0.000      0.006      0.008    2
     3.000 0 1 1 0 1 1 0 1 1      0.257      0.387      0.001      0.071      0.284    2
     3.000 1 1 0 * 1 1 1 1 1      0.029      0.865      0.000      0.083      0.022    2
     2.000 1 1 1 * 1 1 1 1 0      0.005      0.709      0.000      0.054      0.232    2
     2.000 1 1 1 1 1 0 * 1 1      0.001      0.669      0.000      0.008      0.322    2
     2.000 * 1 1 1 1 1 1 1 1      0.002      0.983      0.000      0.006      0.010    2
     2.000 1 0 * 1 1 1 1 1 1      0.080      0.890      0.000      0.011      0.019    2
     2.000 1 1 1 1 0 1 * 1 1      0.007      0.493      0.000      0.431      0.070    2
     2.000 1 1 0 1 1 1 1 0 1      0.030      0.679      0.000      0.021      0.270    2
     2.000 1 1 0 1 1 0 1 1 1      0.029      0.617      0.000      0.019      0.334    2
     2.000 1 1 0 1 1 1 1 1 0      0.038      0.556      0.000      0.018      0.388    2
     2.000 1 0 1 1 1 1 1 1 0      0.115      0.524      0.000      0.012      0.349    2
     1.000 * 1 1 1 0 1 1 1 1      0.026      0.508      0.000      0.428      0.038    2
     1.000 1 0 1 0 1 1 1 * 1      0.291      0.448      0.000      0.215      0.046    2
     1.000 1 1 1 1 * 1 0 1 1      0.002      0.874      0.000      0.035      0.089    2
     1.000 1 1 1 1 * 1 1 1 1      0.001      0.954      0.000      0.036      0.009    2
     1.000 1 1 0 1 1 1 * 1 1      0.014      0.927      0.000      0.014      0.045    2
     1.000 1 1 1 * 1 1 0 1 1      0.003      0.876      0.000      0.034      0.087    2
     1.000 0 1 1 1 0 1 1 1 1      0.180      0.448      0.000      0.281      0.091    2
     1.000 0 1 1 1 1 * 1 1 1      0.017      0.915      0.000      0.004      0.064    2
     1.000 0 1 1 * 1 * 1 1 1      0.045      0.858      0.000      0.024      0.073    2
     1.000 1 1 0 * 1 0 1 1 1      0.069      0.503      0.000      0.095      0.333    2
     1.000 1 1 0 0 1 1 0 1 1      0.186      0.363      0.001      0.241      0.209    2
     1.000 0 1 1 1 0 1 1 * *      0.173      0.307      0.001      0.213      0.305    2
     1.000 1 1 * 1 1 1 * 1 1      0.001      0.973      0.000      0.006      0.019    2
     1.000 1 1 1 * * * * * 1      0.003      0.708      0.000      0.189      0.100    2
     1.000 0 1 0 1 1 1 1 1 *      0.320      0.571      0.001      0.007      0.102    2
     1.000 1 1 1 1 1 1 * * *      0.001      0.911      0.000      0.006      0.083    2
     1.000 1 * * * * * 1 * *      0.042      0.634      0.002      0.203      0.118    2
     1.000 0 1 * 1 1 1 1 1 1      0.034      0.935      0.000      0.004      0.027    2
     1.000 1 1 1 1 1 1 1 * *      0.001      0.956      0.000      0.006      0.037    2
     1.000 0 1 1 * 1 1 1 1 1      0.040      0.907      0.000      0.024      0.029    2
     1.000 1 1 1 1 1 * 0 1 1      0.001      0.818      0.000      0.005      0.175    2
     1.000 1 1 1 1 1 1 1 * 0      0.002      0.656      0.000      0.008      0.334    2
     1.000 1 1 * 1 1 1 1 * *      0.001      0.952      0.000      0.007      0.040    2
     1.000 0 1 1 1 1 1 * * *      0.020      0.749      0.001      0.004      0.226    2
     1.000 1 1 0 * * * 1 * 1      0.046      0.515      0.000      0.356      0.082    2
     1.000 1 1 * 1 1 1 0 1 1      0.002      0.911      0.000      0.006      0.080    2
     1.000 1 1 1 1 1 * * * *      0.001      0.802      0.000      0.006      0.191    2
     1.000 1 1 1 0 1 1 * 0 1      0.012      0.405      0.000      0.197      0.386    2
     1.000 1 1 1 1 1 0 1 * 1      0.001      0.710      0.000      0.009      0.281    2
     1.000 1 1 1 0 1 1 0 1 *      0.012      0.539      0.000      0.144      0.305    2
     1.000 1 1 1 0 1 1 0 * 1      0.012      0.586      0.000      0.157      0.246    2
     1.000 0 1 1 1 1 1 * 1 1      0.018      0.921      0.000      0.004      0.057    2
    65.000 0 0 0 0 0 0 0 0 0      0.004      0.000      0.996      0.000      0.001    3
    30.000 0 0 0 1 1 0 0 0 0      0.007      0.000      0.974      0.000      0.019    3
    14.000 0 0 0 0 1 0 0 0 0      0.006      0.000      0.991      0.000      0.003    3
    14.000 0 0 1 1 1 0 0 0 0      0.010      0.000      0.669      0.000      0.321    3
     7.000 0 1 0 0 0 0 0 0 0      0.003      0.000      0.982      0.000      0.015    3
