CASENUM,COHORT,RSTEMM,EMTHIRT,FEMALE,CB28A,CB28B,CB28C,CB28E,CB28G,CB28H,CB28I,CB28K,CB28L
1281,2,0,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1282,2,0,54.24,1,2,2,2,2,3,4,3,1,1
1283,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1284,2,0,62.13,0,1,1,1,4,4,1,1,1,1
1285,2,0,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1286,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1287,2,1,67.43,0,1,1,1,5,5,1,1,1,1
1288,2,0,-96,1,2,1,1,4,4,2,2,1,2
1289,2,1,92.08,0,1,1,1,4,5,1,1,1,1
1290,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1291,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1292,2,0,-96,0,2,2,2,3,1,2,4,-96,-98
1293,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1294,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1295,2,0,54.67,1,2,2,2,4,5,2,2,2,2
1296,2,0,52.73,1,1,1,1,5,5,1,1,1,1
1297,2,-95,45.17,0,1,1,1,1,2,1,1,1,3
1298,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1299,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1300,2,-95,-98,0,3,3,4,2,2,2,3,4,1
1301,2,-95,49.1,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1302,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1303,2,0,-98,1,1,-98,2,3,5,4,3,1,2
1304,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1305,2,0,67.09,0,1,1,1,4,4,2,2,1,2
1306,2,-95,65.99,0,2,2,2,4,4,3,1,1,1
1307,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1308,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1309,2,-95,-98,0,1,1,1,4,4,1,1,1,1
1310,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1311,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1312,2,-95,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1313,2,0,70.42,0,2,2,2,3,5,2,2,2,2
